"Tata Consultancy Services",8
"Cognizant",8
"Amazon",7
"EY",3
"Infosys",3
"Accenture",3
"Deloitte",3
"Qualcomm",2
"Stanford University",2
"Indian Institute of Technology, Kanpur",2
"Cisco",2
"Bajaj Auto Ltd",2
"IBM",2
"Google",2
"Capgemini",2
"HCL Technologies",2
"Dialpad",2
"Farnek Services LLC",2
"UFLEX Group",2
"Indian Institute of Technology, Guwahati",2
"Creative Confluence Centre",1
"MICROSOFT RESEARCH LAB INDIA PRIVATE LIMITED",1
"Emeritus",1
"Uber",1
"SAP",1
"Black Hills Energy",1
"Department Artificial Intelligence in Biomedical Engineering - AIBE@FAU",1
"Culture Matters",1
"PwC",1
"Krayo",1
"Siemens EDA (Siemens Digital Industries Software)",1
"The Heritage Group of Institutes",1
"Indian Railways",1
"Fidelity Investments",1
"Indiana University Bloomington",1
"Piping Rock India Pvt ltd",1
"Wealth Technology and Services Pvt. Ltd",1
"HERE Technologies",1
"Intuit",1
"United Nations",1
"Goldman Sachs",1
"Invesco US",1
"The Johns Hopkins University",1
"LogicMonitor",1
"Khoros",1
"PwC AC Kolkata",1
"Xperi Inc.",1
"Myknot Services OPC Private Limited",1
"Freshers job",1
"BT",1
"Tairon Frames",1
"Oracle",1
"GLOBALFOUNDRIES",1
"KPMG India",1
"Finicity, a Mastercard Company",1
"Intel Labs",1
"Vardhan Consulting Engineers",1
"MediaTek",1
"TSMC",1
"Catalytics Datum",1
"Arizona State University",1
"Indian Institute of Technology, Delhi",1
"Cyient",1
"Wipro Limited",1
"Informatica",1
"West Agile Labs",1
"GoKwik",1
"Université catholique de Louvain",1
"Fitek",1
"CloudWave",1
"PwC Acceleration Centers",1
"Techberry Inc.",1
"Citi",1
"Innovecture, LLC",1
"Digibling Infotech",1
"Condé Nast",1
"United Breweries Ltd.",1
"ITC Infotech",1
"Matrix Media Solutions (P) Ltd",1
"Oklahoma State University",1
"Samsung Electronics",1
"SafeAI, Inc.",1
"IBM ISDL",1
"Texas Instruments",1
"LinkedIn",1
"Aditya Birla Fashion and Retail Ltd.",1
"Aarvee Associates",1
"CRISIL Limited",1
"Leibniz Universität Hannover",1
"Stader Labs",1
"DXCorr Design Inc",1
"Arcesium",1
"Star Cement Ltd.",1
"Indian Institute of Technology, Kharagpur",1
"Paderborn University",1
"Infosys Limited",1
"Infineon Technologies",1
"AIXCHANGE",1
"MyCaptain",1
"Western Union",1
"BloodConnect Foundation",1
"Indian Institute of Technology, Bombay",1
"Government College Of Engineering and Ceramic Technology",1
"Hitachi ABB Power Grids",1
"HARMAN International",1
"Kantar imrb",1
"ZF Group",1
"Reskilll",1
"Webexcellis",1
